PO,PO description,Date of document,Supplier,Status,Record source,Originated by,Invoicing company,Processing flow,Needed date,Shipping instruction,Ship to,Delivery date,Related requisitions IDs,Client,Contact,Ack date,Evaluation date,Delivery planned date,Creation date,Type of requisition,Shop for user,Order mode,Currency,Edit date,Payment term,Net total,Net total (Invoicing company currency),Gross total,Net total (EUR),Gross total (EUR),Processing status,PO(Corcentric ID),Order Purchaser,Original invoice,Amount,Routing code,[ATTR],[XATTR],Accounting group,Approval date,Technology,Technology + sub-commodities,Management currency,Invoicing company currency,Invoicing conversion rate,Currency conversion date,Confidential,Standard label,Created by,Modified by,Last modified,Interfaced,Interfaced,Incoterm,Invoiced amount,Remainder to be invoiced,LBC PR identifier,LBC status
4302138121,TEKNIA - Desmontaje Ventilador,2024-11-20,23655,Received,Manual,rosa-maria.jimenez@valeo.com,MTPR,Standard,2024-11-20,,MTPR34823,2024-11-25,",10880295,",0,0,,,,2024-11-20 07:35:36,1,rosa-maria.jimenez@valeo.com,email,EUR,,Z101,577.74000,577.7400000000000,577.74000,577.74000,577.74000,"Sent, Receiving started, Fully received",5081970,Ricardo GARCIA-RODRIGUEZ,,,0,0,0,1,2024-11-20,,no,EUR,EUR,1.00000000,2024-11-20,0,TEKNIA - Desmontaje Ventilador (4302138121),63322,rosa-maria.jimenez@valeo.com,2024-11-25 10:55:00,,no,FCA,0.00000,577.74000,,
4302138411,TAKAHATA_ Inyecc. Seg. Family Mold - SE210/6  RL,2024-11-27,249350,Received,Manual,alberto.munoz-moreno@valeo.com,MTPR,Standard,2024-12-04,,MTPR34823,2025-03-07,",11035254,",0,0,,,,2024-11-27 10:36:45,1,alberto.munoz-moreno@valeo.com,memail,EUR,,Z101,1915.00000,1915.0000000000000,1915.00000,1915.00000,1915.00000,"Sent, Receiving started, Fully received",5116089,Ricardo GARCIA-RODRIGUEZ,,,0,0,0,1,2024-11-27,,no,EUR,EUR,1.00000000,2024-12-04,0,TAKAHATA_ Inyecc. Seg. Family Mold - SE210/6  RL (4302138411),157325,alberto.munoz-moreno@valeo.com,2025-03-07 11:16:37,,no,FCA,0.00000,1915.00000,,
4302138412,TAKAHATA_ Inyec.Seg. LC17059 - SE210/6  RL,2024-11-27,249350,Received,Manual,alberto.munoz-moreno@valeo.com,MTPR,Standard,2024-12-04,,MTPR34823,2025-03-07,",10995975,",0,0,,,,2024-11-27 10:36:54,1,alberto.munoz-moreno@valeo.com,memail,EUR,,Z101,2410.00000,2410.0000000000000,2410.00000,2410.00000,2410.00000,"Sent, Receiving started, Fully received",5116095,Ricardo GARCIA-RODRIGUEZ,,,0,0,0,1,2024-11-27,,no,EUR,EUR,1.00000000,2024-12-04,0,TAKAHATA_ Inyec.Seg. LC17059 - SE210/6  RL (4302138412),157325,alberto.munoz-moreno@valeo.com,2025-03-07 11:17:23,,no,FCA,0.00000,2410.00000,,
4102047569,BPM187204 - White logo - LE82049 - VW210_6 RL - 55250,2024-11-28,23655,Received,Manual,andrea.perez-medina@valeo.com,MTPR,Standard,2024-11-28,,MTPR34823,2025-01-08,",10929345,",0,0,,,,2024-11-28 11:27:17,1,andrea.perez-medina@valeo.com,email,EUR,,Z101,55250.00000,55250.0000000000000,55250.00000,55250.00000,55250.00000,"Sent, Receiving started, Fully received",5123955,Juan-Manuel CRUZ,,,0,0,0,1,2024-11-28,,no,EUR,EUR,1.00000000,2024-11-28,0,BPM187204 - White logo - LE82049 - VW210_6 RL - 55250 (4102047569),17196,andrea.perez-medina@valeo.com,2025-01-08 11:37:44,,no,FCA,0.00000,55250.00000,,
4102047570,BPM187204 - Black Logo - LF05600 - VW210_6 RL - 36092,2024-11-28,23655,Partially received,Manual,andrea.perez-medina@valeo.com,MTPR,Standard,2024-11-28,,MTPR34823,2025-01-29,",10940820,",0,0,,,,2024-11-28 11:27:18,1,andrea.perez-medina@valeo.com,email,EUR,,Z101,36092.00000,36092.0000000000000,36092.00000,36092.00000,36092.00000,0,5123961,Juan-Manuel CRUZ,,,0,0,0,1,2024-11-28,,no,EUR,EUR,1.00000000,2024-11-28,0,BPM187204 - Black Logo - LF05600 - VW210_6 RL - 36092 (4102047570),17196,andrea.perez-medina@valeo.com,2025-03-25 17:05:53,,no,FCA,0.00000,36092.00000,,
4102047591,MODPRO LCR_1025917 050324 Modificación CL SUNBURN BEZEL Mercedes X24x TAKAHATA,2024-11-29,249350,Received,Manual,jaime.torres@valeo.com,MTPR,Standard,2024-12-04,,MTPR34823,2025-04-29,",10996707,",0,0,,,,2024-11-29 12:32:59,1,jaime.torres@valeo.com,memail,EUR,,Z101,8000.00000,8000.0000000000000,8000.00000,8000.00000,8000.00000,"Sent, Receiving started, Fully received",5128935,,,,0,0,0,1,2024-11-29,,no,EUR,EUR,1.00000000,2024-12-04,0,MODPRO LCR_1025917 050324 Modificación CL SUNBURN BEZEL Mercedes X24x TAKAHATA (4102047591),210237,jaime.torres@valeo.com,2025-04-29 07:07:40,,no,FCA,0.00000,8000.00000,,
4102047611,GOLB037/2024 TAKAHATA modificacion molde LB91078-9 BRACKETS C4x,2024-12-03,249350,Received,Manual,macarena.fernandez-torres.ext@valeo.com,MTPR,Standard,2024-12-11,,MTPR34823,2025-03-28,",11048511,",0,0,,,,2024-12-03 15:23:51,1,macarena.fernandez-torres.ext@valeo.com,memail,EUR,,Z101,859.00000,859.0000000000000,859.00000,859.00000,859.00000,"Sent, Receiving started, Fully received",5137359,,,,0,0,0,1,2024-12-03,,no,EUR,EUR,1.00000000,2024-12-11,0,GOLB037/2024 TAKAHATA modificacion molde LB91078-9 BRACKETS C4x (4102047611),210237,macarena.fernandez-torres.ext@valeo.com,2025-03-28 12:11:19,,no,FCA,0.00000,859.00000,,
4302138539,PO compra de 14000 cover LA79462 a Inamarsa para producción de cablerias,2024-12-05,13158,Received,Manual,carlos.ruiz-caballero@valeo.com,MTPR,Standard,2024-12-16,,MTPR34823,2024-12-10,",11125272,",0,0,,,,2024-12-05 11:17:35,1,carlos.ruiz-caballero@valeo.com,email,EUR,,Z101,1302.00000,1302.0000000000000,1302.00000,1302.00000,1302.00000,"Sent, Receiving started, Fully received",5148432,Ricardo GARCIA-RODRIGUEZ,,,0,0,0,1,2024-12-05,,no,EUR,EUR,1.00000000,2024-12-16,0,PO compra de 14000 cover LA79462 a Inamarsa para producción de cablerias (4302138539),32211,carlos.ruiz-caballero@valeo.com,2024-12-10 10:56:59,,no,FCA,0.00000,1302.00000,,
4102047656,OFERTA 27112024_ TEKNIA MARTOS_modificacion Molde BRACKET BASIC_ SE310 HL Born,2024-12-11,23655,Received,Manual,dulce.banda@valeo.com,MTPR,Standard,2024-12-16,,MTPR34823,2025-01-13,",11124396,",0,0,,,,2024-12-11 10:15:21,1,dulce.banda@valeo.com,email,EUR,,Z101,3350.00000,3350.0000000000000,3350.00000,3350.00000,3350.00000,"Sent, Receiving started, Fully received",5175891,,,,0,0,0,1,2024-12-11,,no,EUR,EUR,1.00000000,2024-12-16,0,OFERTA 27112024_ TEKNIA MARTOS_modificacion Molde BRACKET BASIC_ SE310 HL Born (4102047656),210237,dulce.banda@valeo.com,2025-01-13 15:30:47,,no,FCA,0.00000,3350.00000,,
4102047657,OFERTA TMA 30102024_TEKNIA MARTOS Modificacion Molde BRACKET Basic_SE310 HL,2024-12-11,23655,Received,Manual,dulce.banda@valeo.com,MTPR,Standard,2024-12-16,,MTPR34823,2025-01-13,",11129565,",0,0,,,,2024-12-11 10:15:36,1,dulce.banda@valeo.com,email,EUR,,Z101,1880.00000,1880.0000000000000,1880.00000,1880.00000,1880.00000,"Sent, Receiving started, Fully received",5175894,,,,0,0,0,1,2024-12-11,,no,EUR,EUR,1.00000000,2024-12-16,0,OFERTA TMA 30102024_TEKNIA MARTOS Modificacion Molde BRACKET Basic_SE310 HL (4102047657),210237,dulce.banda@valeo.com,2025-01-13 15:30:54,,no,FCA,0.00000,1880.00000,,
